Green,bald,Deagle,Aardwolf,aardvark
,,,,staircase
,,,,stamp
,,,,star
,,,,station
,,,,steam
,,,,steel
,,,,stem
,,,,step
,,,,stew
,,,,stick
,,,,stitch
,,,,stinger
,,,,stomach
,,,,stone
,,,,stool
,,,,sign
,,,,stopwatch
,,,,store
,,,,storm
,,,,story
,,,,stove
,,,,stranger
,,,,straw
,,,,stream
,,,,string
,,,,submarine
,,,,sugar
,,,,suit
,,,,summer
,,,,sun
,,,,sunshine
,,,,sunflower
,,,,supermarket
,,,,surfboard
,,,,surname
,,,,surprise
,,,,sushi
,,,,swallow
,,,,swamp
,,,,swan
,,,,sweater
,,,,sweatshirt
,,,,sweets
,,,,swing
,,,,switch
,,,,sword
,,,,swordfish
,,,,syrup
,,,,table
,,,,tabletop
,,,,tadpole
,,,,tail
,,,,target
,,,,tax
,,,,taxi
,,,,tea
,,,,teacher
,,,,team
,,,,teeth
,,,,television
,,,,tennis
,,,,tent
,,,,textbook
,,,,theater
,,,,thistle
,,,,thought
,,,,thread
,,,,throat
,,,,throne
,,,,thumb
,,,,thunder
,,,,thunderstorm
,,,,ticket
,,,,tie
,,,,tiger
,,,,tile
,,,,time
,,,,tire
,,,,toad
,,,,toast
,,,,toe
,,,,toilet
,,,,tomato
,,,,tongue
,,,,tooth
,,,,toothbrush
,,,,toothpaste
,,,,top
,,,,tornado
,,,,tortoise
,,,,tower
,,,,town
,,,,toy
,,,,tractor
,,,,traffic
,,,,trail
,,,,train
,,,,transport
,,,,tray
,,,,tree
,,,,triangle
,,,,trick
,,,,trip
,,,,trombone
,,,,trouble
,,,,trousers
,,,,truck
,,,,trumpet
,,,,trunk
,,,,t-shirt
,,,,tub
,,,,tuba
,,,,tugboat
,,,,tulip
,,,,tuna
,,,,tune
,,,,Turkey
,,,,turnip
,,,,turtle
,,,,TV
,,,,twig
,,,,twilight
,,,,twine
,,,,umbrella
,,,,valley
,,,,van
,,,,vase
,,,,vegetable
,,,,veil
,,,,vein
,,,,vessel
,,,,vest
,,,,violin
,,,,volcano
,,,,volleyball
,,,,vulture
,,,,wall
,,,,wallaby
,,,,walrus
,,,,washer
,,,,wasp
,,,,waste
,,,,watch
,,,,watchmaker
,,,,water
,,,,waterfall
,,,,wave
,,,,wax
,,,,weapon
,,,,weasel
,,,,weather
,,,,wedge
,,,,whale
,,,,wheel
,,,,whip
,,,,whistle
,,,,wilderness
,,,,willow
,,,,wind
,,,,window
,,,,windscreen
,,,,wing
,,,,winter
,,,,wire
,,,,wish
,,,,witch
,,,,wolf
,,,,woman
,,,,wood
,,,,wool
,,,,word
,,,,workshop
,,,,worm
,,,,wound
,,,,wren
,,,,wrench
,,,,wrinkles
,,,,wrist
,,,,xylophone
,,,,yacht
,,,,yak
,,,,yard
,,,,yogurt
,,,,zebra
,,,,zipper
,,,,zoo
